,Coord_1_Casa,Coord_1_Lavoro,Coord_2_Casa,Coord_2_Lavoro,Giorni_al_1Lav,Giorni_al_2Lav,Id_Term,Km_Percorsi,N_Case,N_Giorni_Pres,N_Lavori,N_Soste_Univ,Notti_1Casa,Notti_2Casa,Notti_In,Notti_Out,Trans_Confine,Veh_Type
823,"[9.8564050000000005, 45.640667999999998]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712516,13440.33290000008,1,17,0,0,10,0,10,0,7,2
824,"[9.8559099999999997, 45.639617000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712520,9140.030800000015,1,61,0,0,43,0,46,0,42,2
825,"[9.8566260000000003, 45.640025999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712521,92788.29219999997,1,18,0,1,3,0,3,14,18,2
826,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712522,34014.97600000001,0,3,0,1,0,0,0,2,0,2
827,"[9.8561119999999995, 45.639575999999998]","[-1, -1]","[9.9083699999999997, 45.665357]","[-1, -1]",0,0,2712525,18629.841900000134,2,55,0,1,18,4,23,7,12,2
828,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712582,520747.3567,0,2,0,1,0,0,0,1,2,2
829,"[10.090451, 45.334778]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712586,19664.676099999993,1,27,0,1,12,0,15,6,8,2
830,"[10.731337, 45.336092999999998]","[-1, -1]","[10.719282, 45.438775999999997]","[-1, -1]",0,0,2712609,914.7964999999998,2,31,0,1,18,13,30,1,2,2
831,"[10.672912, 45.443468000000003]","[-1, -1]","[10.330252, 45.449418999999999]","[-1, -1]",0,0,2712611,2221.922399999999,2,37,0,0,31,2,34,0,5,2
832,"[10.177410999999999, 45.518267999999999]","[-1, -1]","[10.18726, 45.530289000000003]","[-1, -1]",0,0,2712635,477415.1176999988,2,20,0,4,3,2,14,6,7,2
833,"[10.86416, 45.277180000000001]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712639,11223.835500000017,1,9,0,1,5,0,5,3,9,2
834,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712641,202691.11040000006,0,9,0,1,0,0,3,4,7,2
835,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712646,1440.7783000000006,0,2,0,1,0,0,0,1,1,2
836,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712649,554018.3259999995,0,2,0,1,0,0,0,1,1,2
837,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712673,49601.66529999997,0,7,0,1,0,0,2,4,10,2
